Access Control Entry;
Access Control List;
ACE;
ACL;
ACPI;
ADSL;
AFS;
APC;
API;
Application Program Interface;
Asynchronous Procedure Call;
AV-диск;
Basic Input Output System;
Berkeley UNIX;
BFFS;
BIOS;
BSD;
BSS;
CC-NUMA;
CD-ROM VTOC;
CD-ROM XA;
CD-ROM файловая система;
CERT;
CMOS-память;
CMS;
Compatible Time Sharing System;
CORBA;
CTSS;
DACL;
Data Encryption Standard;
Deferred Procedure Call;
DES;
DIB;
Digital Versatile Disk;
Digital Video;
Digital Video Disk;
Direct Memory Access;
DirectX;
Discretionary Access Control List;
DMA;
DNS;
DPC;
DSM;
DV;
DVD;
Dynamic-Link Library;
D-пространство;
ECC;
EDF;
EFS;
Encrypting File System;
ESC-последовательность;
Ethernet;
FAT-16;
FAT-32;
FAT-таблица;
FIFO;
finger daemon;
FireWire;
flash RAM;
FORTRAN;
GDI;
GID;
Globe;
Group IDentification;
GUI;
HAL;
Hardware Abstraction Layer;
High Sierra;
IBM PC;
IDE;
IDL;
IEEE 1394;
IIOP;
Instruction Set Architecture;
Integrated Drive Electronics;
InterProcess Communication;
Intrinsics;
IPC;
IRP;
ISA;
ISO 9660;
ITU;
i-узел;
JavaSpace;
JDK;
Jini;
JPEG;
JVM;
LBA;
LDT;
LFS;
Linda;
Linux;
LRU;
l-пространство;
Master File Table;
MD5;
Memory Management Unit;
Message-Passing Interface;
MFT;
MINIX;
MMU;
Motif;
MPEG;
MPEG макроблок;
MPI;
MS DOS;
MULTICS;
NC-NUMA;
New Technology File System;
NFS;
NFU;
NRU;
NTFS;
NUMA;
ORB;
OS/360;
OS/360 дефекты системы безопасности;
OSF;
PCI;
PDA;
PDP-11;
Pentium;
PFF;
PIC;
PID;
plug and play;
Position Independent Code;
POSIX;
POSIX управление потоками;
PSW;
RAID;
RAM;
Random Access Memory;
RMS;
root;
RPC;
RSA;
rwx-биты;
SACL;
scan-EDF;
script kiddy;
SCSI;
SECAM;
Security IDentifier;
SETUID;
SHA;
shell;
SID;
SLED;
SLIM;
SMR;
starvation;
SVID;
System Access Control List;
System V;
TCB;
TCP;
TCP/IP;
TENEX;
termcap;
TLB;
TOPS-20;
UART;
UDR;
UID;
Ul;
UMA;
UNIX;
UNIX загрузка;загрузка UNIX
UNIX задачи;задачи UNIX
UNIX интерфейсы;интерфейсы UNIX
UNIX история;история UNIX
UNIX оболочка;оболочка UNIX
UNIX переносимая;переносимая UNIX
UNIX потоки;потоки UNIX
UNIX процессы;процессы UNIX
UNIX сеть;сеть UNIX
UNIX утилиты;утилиты UNIX
upcall;
URL;
USB;
User IDentification;
VAD;
venus;
vice;
Virtual Address Descriptor;
v-узел;
web-браузер;
web-страница;
widget;
Win32 API;
Windows 10;
Windows 2000;
Windows 7;
Windows 8;
Windows 95;
Windows 98;
Windows Driver Model;
Windows Me;
Windows NT;
Windows Vista;
Windows XP;
Windows загрузка;загрузка Windows
Windows история;история Windows
Windows объект;объект Windows
Windows структура системы;структура системы Windows
